Level5,Level4,Level3,Level2,Level1
III_ventricle,III_ventricle,III_ventricle,IIIandIV_Ventricle,Cerebrospinal Fluid
IV_ventricle,IV_ventricle,IV_ventricle,IIIandIV_Ventricle,Cerebrospinal Fluid
LV_Frontal_L,FrontalLateralVentricle_L,LateralVentricle_L,LateralVentricle,Cerebrospinal Fluid
LV_body_L,FrontalLateralVentricle_L,LateralVentricle_L,LateralVentricle,Cerebrospinal Fluid
LV_Temporal_L,InferiorLateralVentricle_L,LateralVentricle_L,LateralVentricle,Cerebrospinal Fluid
LV_atrium_L,PosteriorLateralVentricle_L,LateralVentricle_L,LateralVentricle,Cerebrospinal Fluid
LV_Occipital_L,PosteriorLateralVentricle_L,LateralVentricle_L,LateralVentricle,Cerebrospinal Fluid
LV_Frontal_R,FrontalLateralVentricle_R,LateralVentricle_R,LateralVentricle,Cerebrospinal Fluid
LV_body_R,FrontalLateralVentricle_R,LateralVentricle_R,LateralVentricle,Cerebrospinal Fluid
LV_Temporal_R,InferiorLateralVentricle_R,LateralVentricle_R,LateralVentricle,Cerebrospinal Fluid
LV_atrium_R,PosteriorLateralVentricle_R,LateralVentricle_R,LateralVentricle,Cerebrospinal Fluid
LV_Occipital_R,PosteriorLateralVentricle_R,LateralVentricle_R,LateralVentricle,Cerebrospinal Fluid
HypoThalamus_L,BasalForbrain_L,BasalForbrain_L,BasalForbrain_L,Diencephalon_L
Mynert_L,BasalForbrain_L,BasalForbrain_L,BasalForbrain_L,Diencephalon_L
AnsaLenticularis_L,BasalForbrain_L,BasalForbrain_L,BasalForbrain_L,Diencephalon_L
AnteriorCom_L,BasalForbrain_L,BasalForbrain_L,BasalForbrain_L,Diencephalon_L
LenticularFasc_L,BasalForbrain_L,BasalForbrain_L,BasalForbrain_L,Diencephalon_L
OlfactoryRadiation_L,BasalForbrain_L,BasalForbrain_L,BasalForbrain_L,Diencephalon_L
Mammillary_L,BasalForbrain_L,BasalForbrain_L,BasalForbrain_L,Diencephalon_L
Thalamus_L,Thalamus_L,Thalamus_L,Thalamus_L,Diencephalon_L
HypoThalamus_R,BasalForbrain_R,BasalForbrain_R,BasalForbrain_R,Diencephalon_R
Mynert_R,BasalForbrain_R,BasalForbrain_R,BasalForbrain_R,Diencephalon_R
AnsaLenticularis_R,BasalForbrain_R,BasalForbrain_R,BasalForbrain_R,Diencephalon_R
AnteriorCom_R,BasalForbrain_R,BasalForbrain_R,BasalForbrain_R,Diencephalon_R
LenticularFasc_R,BasalForbrain_R,BasalForbrain_R,BasalForbrain_R,Diencephalon_R
OlfactoryRadiation_R,BasalForbrain_R,BasalForbrain_R,BasalForbrain_R,Diencephalon_R
Mammillary_R,BasalForbrain_R,BasalForbrain_R,BasalForbrain_R,Diencephalon_R
Thalamus_R,Thalamus_R,Thalamus_R,Thalamus_R,Diencephalon_R
RedNc_L,midbrain_L,midbrain_L,Mesencephalon_L,Mesencephalon
Snigra_L,midbrain_L,midbrain_L,Mesencephalon_L,Mesencephalon
CP_L,midbrain_L,midbrain_L,Mesencephalon_L,Mesencephalon
Midbrain_L,midbrain_L,midbrain_L,Mesencephalon_L,Mesencephalon
